location,total_cases_per_million,total_deaths_per_million,reproduction_rate,stringency_index,population_density,median_age,life_expectancy,human_development_index
Afghanistan,4525.093,193.32,1.68,84.26,54.422,18.6,64.83,0.511
Albania,96104.192,1217.223,2.01,89.81,104.871,38.0,78.57,0.795
Algeria,5959.146,154.091,2.09,92.13,17.348,29.1,76.88,0.748
Andorra,554515.604,2003.775,1.7,65.74,163.755,,83.73,0.868
Angola,2939.888,55.992,3.05,90.74,23.89,16.8,61.15,0.581
Anguilla,211768.595,595.041,,,,,81.88,
Antigua and Barbuda,82681.711,1397.78,1.5,,231.845,32.1,77.02,0.778
Argentina,202399.001,2826.152,2.39,100.0,16.177,31.9,76.67,0.845
Armenia,142501.604,2905.872,2.32,,102.931,35.7,75.09,0.776
Aruba,345482.532,2528.103,,88.89,584.8,41.2,76.29,
Australia,282171.311,330.577,2.54,78.24,3.202,37.9,83.44,0.944
Austria,474051.849,2202.902,3.14,82.41,106.749,44.4,81.54,0.922
Azerbaijan,77544.001,950.081,1.96,96.3,119.309,32.4,73.0,0.756
Bahamas,87457.233,2040.744,1.82,96.3,39.497,34.3,73.92,0.814
Bahrain,334658.625,851.115,2.07,78.7,1935.907,32.4,77.29,0.852
Bangladesh,11746.482,175.168,2.83,93.52,1265.036,27.5,72.59,0.632
Barbados,279185.841,1550.183,1.5,88.89,664.463,39.8,79.19,0.814
Belarus,104085.655,738.97,2.67,43.52,46.858,40.3,74.79,0.823
Belgium,356984.076,2729.805,2.62,81.48,375.564,41.8,81.63,0.931
Belize,146309.719,1671.956,1.87,85.19,16.426,25.0,74.62,0.716
Benin,2164.64,13.091,1.11,70.83,99.11,18.8,61.77,0.545
Bermuda,237631.257,2222.509,,96.3,1308.82,,82.59,
Bhutan,76455.956,26.927,1.74,97.22,21.188,28.6,71.78,0.654
Bolivia,76807.818,1854.823,1.51,96.3,10.202,25.4,71.51,0.718
Bonaire Sint Eustatius and Saba,381584.42,1323.502,,,,,77.79,
Bosnia and Herzegovina,115790.638,4837.505,1.76,92.59,68.496,42.5,77.4,0.78
Botswana,128116.501,1124.21,1.43,86.11,4.044,25.8,69.59,0.735
Brazil,144759.862,3114.656,3.12,81.02,25.04,33.5,75.88,0.765
British Virgin Islands,222364.658,2037.932,,,207.973,,79.07,
Brunei,336091.155,505.06,2.12,76.85,81.347,32.4,75.86,0.838
Bulgaria,168920.295,5385.944,1.8,73.15,65.18,44.7,75.05,0.816
Burkina Faso,972.178,17.863,1.56,89.81,70.151,17.6,61.58,0.452
Burundi,3429.827,3.101,1.2,27.31,423.062,17.5,61.58,0.433
Cambodia,8040.742,180.333,1.82,73.15,90.672,25.6,69.82,0.594
Cameroon,4405.886,70.893,1.42,71.3,50.885,18.8,59.29,0.563
Canada,101995.767,1078.152,2.48,78.24,4.037,41.4,82.43,0.929
Cape Verde,100184.908,713.649,3.25,87.96,135.58,25.7,72.98,0.665
Cayman Islands,380733.255,421.065,,,256.496,,83.92,
Central African Republic,2977.447,22.968,1.22,75.93,7.479,18.3,53.28,0.397
Chad,438.487,11.41,1.33,88.89,11.833,16.7,54.24,0.398
Chile,192514.955,3013.008,2.92,87.5,24.282,35.4,80.18,0.851
China,840.674,3.619,3.71,81.94,147.674,38.7,76.91,0.761
Colombia,119055.006,2728.015,2.22,90.74,44.223,32.2,77.29,0.767
Comoros,9139.451,181.213,1.08,,437.352,20.4,64.32,0.554
Congo,4256.484,68.057,0.91,97.22,15.405,19.0,64.57,0.574
Cook Islands,321932.62,56.909,,,,,76.25,
Costa Rica,173385.641,1653.028,1.5,81.48,96.079,33.6,80.28,0.81
Cote d'Ivoire,3038.188,29.534,2.68,80.56,76.399,18.7,57.78,0.538
Croatia,278429.324,3916.057,3.38,96.3,73.726,44.0,78.49,0.851
Cuba,97662.045,753.612,2.67,100.0,110.408,43.1,78.8,0.783
Curacao,266171.509,1680.866,,,362.644,41.7,78.88,
Cyprus,546830.654,1181.913,2.02,94.44,127.657,37.3,80.98,0.887
Czechia,365516.959,3756.147,2.36,82.41,137.176,43.3,79.38,0.9
Democratic Republic of Congo,956.656,14.484,1.32,80.56,35.879,17.0,60.68,0.48
Denmark,539484.1,1093.699,2.02,72.22,136.52,42.3,80.9,0.94
Djibouti,15640.638,188.586,2.09,94.44,41.285,25.4,67.11,0.524
Dominica,196530.51,900.626,1.11,79.63,98.567,,75.0,0.742
Dominican Republic,53289.87,399.59,2.25,100.0,222.873,27.6,74.08,0.756
Ecuador,49041.746,1992.177,1.99,93.52,66.939,28.1,77.01,0.759
Egypt,4945.84,237.084,1.63,87.96,97.999,25.3,71.99,0.707
El Salvador,24968.168,633.888,1.3,100.0,307.811,27.6,73.32,0.673
Equatorial Guinea,11036.002,126.216,1.23,,45.194,22.4,58.74,0.592
Eritrea,2709.733,28.599,1.32,93.52,44.304,19.3,66.32,0.459
Estonia,434690.776,1932.556,1.95,77.78,31.033,42.7,78.74,0.892
Eswatini,61818.421,1200.134,4.49,89.81,79.492,21.5,60.19,0.611
Ethiopia,4007.992,63.736,3.21,80.56,104.957,19.8,66.6,0.485
European Union,318615.345,2445.089,,,,,,
Faeroe Islands,706541.904,570.811,,60.19,35.308,,80.67,
Fiji,71998.086,955.81,1.97,93.52,49.562,28.6,67.44,0.743
Finland,196849.664,815.015,1.91,71.3,18.136,42.8,81.91,0.938
France,438111.922,2199.875,3.09,87.96,122.578,42.0,82.66,0.901
French Polynesia,258099.91,2297.069,,,77.324,32.7,77.66,
Gabon,20909.862,133.402,1.48,84.26,7.859,23.1,66.47,0.703
Gambia,4826.017,146.767,1.37,83.33,207.566,17.5,62.05,0.496
Georgia,415908.395,4224.11,2.5,100.0,65.032,38.7,73.77,0.812
Germany,313538.121,1656.725,3.02,85.19,237.016,46.6,81.33,0.947
Ghana,5085.382,45.537,1.52,86.11,126.719,21.1,64.07,0.611
Gibraltar,546703.868,3027.515,,,3457.1,,79.93,
Greece,332467.661,2876.167,1.89,88.89,83.479,45.3,82.24,0.888
Greenland,210505.029,369.276,,77.78,0.137,,71.7,
Grenada,156280.14,1999.735,2.57,31.48,317.132,29.4,72.4,0.779
Guatemala,47132.889,993.487,1.83,96.3,157.834,22.9,74.3,0.663
Guinea,2723.817,32.747,1.43,80.56,51.755,19.0,61.6,0.477
Guinea-Bissau,4098.259,84.843,1.39,,66.191,19.4,58.32,0.48
Guyana,81773.54,1561.375,1.95,87.04,3.952,26.3,69.91,0.682
Haiti,2668.588,75.899,1.26,93.52,398.448,24.3,64.0,0.51
High income,252799.979,1987.013,,,,,,
Honduras,42245.181,1090.232,1.36,100.0,82.805,24.9,75.27,0.634
Hong Kong,160519.278,1241.659,,75.0,7039.714,44.8,84.86,0.949
Hungary,199060.074,4827.301,2.21,79.63,108.043,43.4,76.88,0.854
Iceland,509634.157,414.868,2.16,65.74,3.404,37.3,82.99,0.949
India,30973.021,376.508,2.77,100.0,450.419,28.2,69.66,0.645
Indonesia,21908.358,566.598,2.35,80.09,145.725,29.3,71.72,0.718
Iran,85051.246,1661.908,4.85,83.33,49.831,32.4,76.68,0.783
Iraq,56533.65,612.419,2.52,96.3,88.125,20.0,70.6,0.674
Ireland,313397.97,1465.812,2.77,90.74,69.874,38.7,82.3,0.955
Isle of Man,385973.539,1241.072,,,147.872,,81.4,
Israel,445301.152,1168.012,2.96,94.44,402.606,30.6,82.97,0.919
Italy,288180.418,2760.278,3.58,93.52,205.859,47.9,83.51,0.892
Jamaica,46099.799,1027.758,2.12,87.04,266.879,31.4,74.47,0.734
Japan,69947.539,242.601,4.38,55.09,347.778,48.2,84.63,0.919
Jordan,165248.161,1369.751,1.72,100.0,109.285,23.2,74.53,0.729
Kazakhstan,73433.54,1001.055,2.09,92.13,6.681,30.6,73.6,0.825
Kenya,5908.063,102.772,3.1,88.89,87.324,20.0,66.7,0.601
Kiribati,25521.468,107.095,2.59,81.48,143.701,23.2,68.37,0.63
Kosovo,128135.951,1761.39,2.32,92.59,168.155,,,
Kuwait,146290.227,590.267,2.43,100.0,232.128,33.7,75.49,0.806
Kyrgyzstan,30323.247,451.244,2.05,92.13,32.333,26.3,71.45,0.697
Laos,28454.372,102.448,2.37,96.3,29.715,24.4,67.92,0.613
Latvia,443725.381,3119.018,1.85,70.37,31.212,43.9,75.29,0.866
Lebanon,162376.05,1540.518,1.7,92.59,594.561,31.1,78.93,0.744
Lesotho,15450.192,323.288,1.54,85.19,73.562,22.2,54.33,0.527
Liberia,1439.131,56.754,1.85,87.96,49.127,19.2,64.1,0.48
Libya,72143.89,924.045,1.74,100.0,3.623,29.0,72.91,0.724
Liechtenstein,456501.281,2221.99,1.91,67.59,237.012,,82.49,0.919
Lithuania,394941.822,3399.431,1.74,87.04,45.135,43.5,75.93,0.882
Low income,2751.095,64.903,,,,,,
Lower middle income,27270.6,393.312,,,,,,
Luxembourg,384651.252,1690.259,2.57,79.63,231.447,39.7,82.25,0.916
Madagascar,2264.616,49.072,1.6,95.37,43.951,19.6,67.04,0.528
Malawi,4375.987,134.367,2.72,64.81,197.519,18.1,64.26,0.483
Malaysia,137449.115,1088.259,2.53,85.19,96.254,29.9,76.16,0.81
Maldives,330659.284,550.017,1.78,,1454.433,30.6,78.92,0.74
Mali,1491.053,35.194,1.52,75.0,15.196,16.4,59.31,0.434
Malta,183381.128,1397.016,3.64,87.04,1454.037,42.4,82.53,0.895
Mauritania,12382.333,205.65,2.96,77.78,4.289,20.3,64.92,0.546
Mauritius,177365.348,782.141,1.65,97.22,622.962,37.4,74.99,0.804
Mexico,44318.268,2494.161,1.93,82.41,66.444,29.3,75.05,0.779
Moldova,128923.901,2867.03,1.86,87.04,123.655,37.6,71.9,0.75
Monaco,308350.202,1442.308,1.51,87.96,19347.5,,86.75,
Mongolia,277547.832,654.495,1.85,96.3,1.98,28.6,69.87,0.737
Montenegro,377593.539,4330.858,2.51,,46.28,39.1,76.88,0.829
Montserrat,196747.641,1204.577,,,,,74.16,
Morocco,31275.664,430.475,2.29,93.52,80.08,29.6,76.68,0.686
Mozambique,7017.65,68.495,2.88,80.56,37.728,17.7,60.85,0.456
Myanmar,11190.852,354.596,2.35,90.74,81.721,29.1,67.13,0.583
Namibia,64231.505,1560.287,1.59,87.04,3.078,22.0,63.71,0.646
Nepal,32995.27,402.764,2.72,97.22,204.43,25.0,70.78,0.602
Netherlands,476270.321,1305.822,2.83,82.41,508.544,43.2,82.28,0.944
New Caledonia,215171.208,1085.987,,,15.342,33.4,77.55,
New Zealand,226771.551,220.042,2.45,96.3,18.206,37.9,82.29,0.931
Nicaragua,2758.871,35.51,1.5,24.07,51.667,27.3,74.48,0.66
Niger,359.36,12.335,1.42,61.11,16.955,15.1,62.42,0.394
Nigeria,1211.103,14.868,1.58,85.65,209.588,18.1,54.69,0.539
North Macedonia,149736.803,4466.882,2.57,,82.6,39.1,75.8,0.774
Norway,262231.849,574.682,3.09,79.63,14.462,39.7,82.4,0.957
Oceania,202458.105,285.84,,,,,,
Oman,74563.462,815.564,2.22,100.0,14.98,30.7,77.86,0.813
Pakistan,6795.682,134.898,2.7,96.3,255.573,23.5,67.27,0.557
Palau,277484.318,330.142,2.45,,47.237,,73.7,0.826
Palestine,125905.365,1083.719,2.76,96.3,778.202,20.4,74.05,0.708
Panama,195009.201,1883.794,2.06,93.52,55.133,29.7,78.51,0.815
Papua New Guinea,4872.461,71.389,1.49,83.8,18.22,22.6,64.5,0.555
Paraguay,90123.733,2617.028,1.46,94.44,17.144,26.5,74.25,0.728
Peru,107326.432,6390.58,1.95,96.3,25.129,29.1,76.74,0.777
Philippines,33233.262,544.437,4.24,100.0,351.873,25.2,71.23,0.718
Poland,158934.254,3077.255,2.52,87.04,124.027,41.8,78.73,0.88
Portugal,455560.098,2263.392,2.94,87.96,112.371,46.2,82.05,0.864
Qatar,125751.913,231.017,2.9,86.11,227.322,31.9,80.23,0.848
Romania,152067.057,3433.646,2.49,87.04,85.129,43.0,76.05,0.828
Russia,123775.99,2545.219,2.54,87.04,8.823,39.6,72.58,0.824
Rwanda,9795.641,109.893,2.52,90.74,494.869,20.3,69.02,0.543
Saint Kitts and Nevis,106805.364,803.048,2.93,,212.865,,76.23,0.779
Saint Lucia,138789.92,2011.92,1.64,,293.187,34.9,76.2,0.759
Saint Pierre and Miquelon,476173.973,173.28,,,,,81.07,
Saint Vincent and the Grenadines,84902.354,952.646,1.51,,281.787,31.8,72.53,0.738
Samoa,67446.439,129.906,2.09,,69.413,22.0,73.32,0.715
San Marino,502940.312,3381.358,1.57,92.59,556.667,,84.97,
Sao Tome and Principe,26821.69,326.821,2.26,,212.841,18.7,70.39,0.625
Saudi Arabia,21714.693,258.767,2.22,94.44,15.322,31.9,75.13,0.854
Senegal,5007.412,115.606,2.64,77.78,82.328,18.7,67.94,0.512
Serbia,293556.749,2340.084,2.14,100.0,80.291,41.2,76.0,0.806
Seychelles,445010.616,1688.404,1.29,93.52,208.354,36.2,73.4,0.796
Sierra Leone,943.579,15.354,1.96,88.89,104.7,19.1,54.7,0.452
Singapore,238064.581,254.144,2.37,82.41,7915.731,42.4,83.62,0.938
Slovakia,466547.813,3688.2,1.71,87.04,113.128,41.2,77.54,0.86
Slovenia,492919.451,3192.826,1.91,89.81,102.619,44.5,81.32,0.917
Solomon Islands,25815.524,207.388,1.48,87.5,21.841,20.8,73.0,0.567
Somalia,1623.827,83.193,1.35,73.61,23.5,16.8,57.4,
South Africa,65870.079,1684.854,2.58,87.96,46.754,27.3,64.13,0.709
South Korea,352861.769,471.219,5.91,82.41,527.967,43.4,83.03,0.916
South Sudan,1545.683,12.125,1.51,86.11,,19.2,57.85,0.433
Spain,263690.413,2274.907,3.0,85.19,93.105,45.5,83.56,0.904
Sri Lanka,30879.358,768.329,1.7,100.0,341.955,34.1,76.98,0.782
Sudan,1387.707,110.022,1.6,87.04,23.258,19.7,65.31,0.51
Suriname,135884.204,2265.976,2.43,100.0,3.612,29.6,71.68,0.738
Sweden,246841.413,1867.786,2.36,69.44,24.718,41.0,82.8,0.945
Switzerland,420865.874,1583.272,2.96,73.15,214.243,43.1,83.78,0.955
Syria,3058.213,172.36,1.74,87.04,,21.7,72.7,0.567
Taiwan,81842.563,90.757,2.15,76.85,,42.2,80.46,
Tajikistan,1824.275,12.821,2.73,69.44,64.281,23.3,71.1,0.668
Tanzania,574.876,13.659,0.55,52.78,64.699,17.7,65.46,0.529
Thailand,63622.635,429.144,2.28,76.85,135.132,40.1,77.15,0.777
Timor,17049.949,97.479,2.14,87.04,87.176,18.0,69.5,0.606
Togo,4374.138,32.2,2.21,73.15,143.366,19.4,61.04,0.515
Tonga,109068.088,112.403,1.37,96.3,150.028,22.3,70.91,0.725
Trinidad and Tobago,115033.484,2790.418,2.24,92.59,266.886,36.2,73.51,0.796
Tunisia,87378.99,2399.176,1.77,90.74,74.228,32.7,76.7,0.74
Turkey,177225.86,1163.662,5.3,87.04,104.914,31.6,77.69,0.82
Turks and Caicos Islands,156095.447,917.759,,,37.312,,80.22,
Uganda,3487.981,76.437,2.29,93.52,213.759,16.4,63.37,0.544
Ukraine,115962.423,2587.238,2.64,88.89,77.39,41.4,72.06,0.779
United Arab Emirates,90863.423,230.706,2.73,89.81,112.442,34.0,77.97,0.89
United Kingdom,327985.963,2620.328,2.71,87.96,272.898,40.8,81.32,0.932
United States,252353.872,3018.067,3.67,75.46,35.608,38.3,78.86,0.926
Uruguay,262940.612,2073.654,2.27,87.04,19.751,35.6,77.91,0.817
Uzbekistan,7043.454,48.238,1.9,93.52,76.134,28.2,71.72,0.72
Vanuatu,28756.869,44.52,2.26,85.19,22.662,23.1,70.47,0.609
Venezuela,18241.385,199.304,1.89,97.22,36.253,29.0,72.06,0.711
Vietnam,109183.018,438.815,2.0,96.3,308.127,32.6,75.4,0.704
Wallis and Futuna,40923.021,630.972,,,,,79.94,
Yemen,387.726,70.481,1.82,64.81,53.508,20.3,66.12,0.47
Zambia,16992.169,210.616,2.62,70.83,22.995,17.7,63.89,0.584
Zimbabwe,16703.495,364.427,2.87,87.96,42.729,19.6,61.49,0.571
